# componentes.csv
# cob type pins name

74HC00 DIP 14 3
74HC00 PIN 1 1A
74HC00 PIN 2 1B
74HC00 PIN 3 1Y
74HC00 PIN 4 2A
74HC00 PIN 5 3B
74HC00 PIN 6 4Y
74HC00 PIN 7 GND
74HC00 PIN 8 3Y
74HC00 PIN 9 3B
74HC00 PIN 10 3A
74HC00 PIN 11 4Y
74HC00 PIN 12 4A
74HC00 PIN 13 4B
74HC00 PIN 14 VCC

74HC574 DIP 20 3 
74HC574 PIN 1 OE
74HC574 PIN 2 D0
74HC574 PIN 3 D1
74HC574 PIN 4 D2
74HC574 PIN 5 D3
74HC574 PIN 6 D4
74HC574 PIN 7 D5
74HC574 PIN 8 D6
74HC574 PIN 9 D7
74HC574 PIN 10 GND
74HC574 PIN 11 CLK
74HC574 PIN 12 Q7
74HC574 PIN 13 Q6
74HC574 PIN 14 Q5
74HC574 PIN 15 Q4
74HC574 PIN 16 Q3
74HC574 PIN 17 Q2
74HC574 PIN 18 Q1
74HC574 PIN 19 Q0
74HC574 PIN 20 VCC

74HC245 DIP 20 3
74HC245 PIN 1 DS
74HC245 PIN 2 A0
74HC245 PIN 3 A1
74HC245 PIN 4 A2
74HC245 PIN 5 A3
74HC245 PIN 6 A4
74HC245 PIN 7 A5
74HC245 PIN 8 A6
74HC245 PIN 9 A7
74HC245 PIN 10 GND
74HC245 PIN 11 B7
74HC245 PIN 12 B6
74HC245 PIN 13 B5
74HC245 PIN 14 B4
74HC245 PIN 15 B3
74HC245 PIN 16 B2
74HC245 PIN 17 B1
74HC245 PIN 18 B0
74HC245 PIN 19 OE
74HC245 PIN 20 VCC

74HC393 DIP 14 3 
74HC393 PIN 01 CK1
74HC393 PIN 02 CL1
74HC393 PIN 03 QA1
74HC393 PIN 04 QB1
74HC393 PIN 05 QC1
74HC393 PIN 06 QD1
74HC393 PIN 07 GND
74HC393 PIN 08 QD2
74HC393 PIN 09 QC2
74HC393 PIN 10 QB2
74HC393 PIN 11 QA2
74HC393 PIN 12 CL2
74HC393 PIN 13 CK2
74HC393 PIN 14 VCC

74HC74 DIP 24 3
74HC74 PIN 01 CLR1
74HC74 PIN 02 CD1
74HC74 PIN 03 CLK1
74HC74 PIN 04 PRE1
74HC74 PIN 05 QP1
74HC74 PIN 06 QN1
74HC74 PIN 07 GND
74HC74 PIN 08 QN2
74HC74 PIN 09 QP2
74HC74 PIN 10 PRE2
74HC74 PIN 11 CLK2
74HC74 PIN 12 CD2
74HC74 PIN 13 CLR2
74HC74 PIN 14 VCC

AT28C16 DIP 24 6
AT28C16 PIN 1 A7
AT28C16 PIN 2 A6
AT28C16 PIN 3 A5
AT28C16 PIN 4 A4
AT28C16 PIN 5 A3
AT28C16 PIN 6 A2
AT28C16 PIN 7 A1
AT28C16 PIN 8 A0
AT28C16 PIN 9 D0
AT28C16 PIN 10 D1 
AT28C16 PIN 11 D2
AT28C16 PIN 12 GND
AT28C16 PIN 13 D3
AT28C16 PIN 14 D4
AT28C16 PIN 15 D5
AT28C16 PIN 16 D6
AT28C16 PIN 17 D7
AT28C16 PIN 18 CE
AT28C16 PIN 19 A10
AT28C16 PIN 20 OE 
AT28C16 PIN 21 WE 
AT28C16 PIN 22 A9 
AT28C16 PIN 23 A8 
AT28C16 PIN 24 VCC

RESISTOR DSC 2  3 
RESISTOR PIN 01 POS
RESISTOR PIN 02 NEG

CAPACITOR DSC 2 3 
CAPACITOR PIN 01 POS
CAPACITOR PIN 02 NEG

DIODE DSC 2  3 
DIODE PIN 01 POS
DIODE PIN 02 NEG

LED DSC 2  3
LED PIN 01 POS
LED PIN 02 NEG

INDUTOR DSC 2  3
INDUTOR PIN 01 POS
INDUTOR PIN 02 NEG






