# componentes.csv
# cob type pins name

74HC00 DIP 14 3
74HC00 PIN 1 1A
74HC00 PIN 2 1B
74HC00 PIN 3 1Y
74HC00 PIN 4 2A
74HC00 PIN 5 3B
74HC00 PIN 6 4Y
74HC00 PIN 7 GND
74HC00 PIN 8 3Y
74HC00 PIN 9 3B
74HC00 PIN 10 3A
74HC00 PIN 11 4Y
74HC00 PIN 12 4A
74HC00 PIN 13 4B
74HC00 PIN 14 VCC

74HC574 DIP 20 3 
74HC574 PIN 1 OE
74HC574 PIN 2 D0
74HC574 PIN 3 D1
74HC574 PIN 4 D2
74HC574 PIN 5 D3
74HC574 PIN 6 D4
74HC574 PIN 7 D5
74HC574 PIN 8 D6
74HC574 PIN 9 D7
74HC574 PIN 10 GND
74HC574 PIN 11 CLK
74HC574 PIN 12 Q7
74HC574 PIN 13 Q6
74HC574 PIN 14 Q5
74HC574 PIN 15 Q4
74HC574 PIN 16 Q3
74HC574 PIN 17 Q2
74HC574 PIN 18 Q1
74HC574 PIN 19 Q0
74HC574 PIN 20 VCC

74HC245 DIP 20 3
74HC245 PIN 1 DS
74HC245 PIN 2 A0
74HC245 PIN 3 A1
74HC245 PIN 4 A2
74HC245 PIN 5 A3
74HC245 PIN 6 A4
74HC245 PIN 7 A5
74HC245 PIN 8 A6
74HC245 PIN 9 A7
74HC245 PIN 10 GND
74HC245 PIN 11 B7
74HC245 PIN 12 B6
74HC245 PIN 13 B5
74HC245 PIN 14 B4
74HC245 PIN 15 B3
74HC245 PIN 16 B2
74HC245 PIN 17 B1
74HC245 PIN 18 B0
74HC245 PIN 19 OE
74HC245 PIN 20 VCC

74HC393 DIP 14 3 
74HC393 PIN 1 CK1
74HC393 PIN 2 CL1
74HC393 PIN 3 QA1
74HC393 PIN 4 QB1
74HC393 PIN 5 QC1
74HC393 PIN 6 QD1
74HC393 PIN 7 GND
74HC393 PIN 8 QD2
74HC393 PIN 9 QC2
74HC393 PIN 10 QB2
74HC393 PIN 11 QA2
74HC393 PIN 12 CL2
74HC393 PIN 13 CK2
74HC393 PIN 14 VCC

74HC74 DIP 24 3
74HC74 PIN 1 CLR1
74HC74 PIN 2 CD1
74HC74 PIN 3 CLK1
74HC74 PIN 4 PRE1
74HC74 PIN 5 QP1
74HC74 PIN 6 QN1
74HC74 PIN 7 GND
74HC74 PIN 8 QN2
74HC74 PIN 9 QP2
74HC74 PIN 10 PRE2
74HC74 PIN 11 CLK2
74HC74 PIN 12 CD2
74HC74 PIN 13 CLR2
74HC74 PIN 14 VCC

AT28C16 DIP 24 6
AT28C16 PIN 1 A7
AT28C16 PIN 2 A6
AT28C16 PIN 3 A5
AT28C16 PIN 4 A4
AT28C16 PIN 5 A3
AT28C16 PIN 6 A2
AT28C16 PIN 7 A1
AT28C16 PIN 8 A0
AT28C16 PIN 9 D0
AT28C16 PIN 10 D1 
AT28C16 PIN 11 D2
AT28C16 PIN 12 GND
AT28C16 PIN 13 D3
AT28C16 PIN 14 D4
AT28C16 PIN 15 D5
AT28C16 PIN 16 D6
AT28C16 PIN 17 D7
AT28C16 PIN 18 CE
AT28C16 PIN 19 A10
AT28C16 PIN 20 OE 
AT28C16 PIN 21 WE 
AT28C16 PIN 22 A9 
AT28C16 PIN 23 A8 
AT28C16 PIN 24 VCC

RESISTOR DSC 2  3 
RESISTOR PIN 1 POS
RESISTOR PIN 2 NEG

CAPACITOR DSC 2 3 
CAPACITOR PIN 1 POS
CAPACITOR PIN 2 NEG

DIODE DSC 2  3 
DIODE PIN 1 POS
DIODE PIN 2 NEG

LED DSC 2  3
LED PIN 1 POS
LED PIN 2 NEG

INDUTOR DSC 2  3
INDUTOR PIN 1 POS
INDUTOR PIN 2 NEG

CONECTOR DIP 20 2
CONECTOR PIN 1 C01
CONECTOR PIN 2 C02
CONECTOR PIN 3 C03
CONECTOR PIN 4 C04
CONECTOR PIN 5 C05
CONECTOR PIN 6 C06
CONECTOR PIN 7 C07
CONECTOR PIN 8 C08
CONECTOR PIN 9 C09
CONECTOR PIN 10 C10
CONECTOR PIN 11 C11
CONECTOR PIN 12 C12
CONECTOR PIN 13 C13
CONECTOR PIN 14 C14
CONECTOR PIN 15 C15
CONECTOR PIN 16 C16
CONECTOR PIN 17 C17
CONECTOR PIN 18 C18
CONECTOR PIN 19 C19
CONECTOR PIN 20 C20




